Year,Month,Daily rate,Daily Spends,Stays
1997,1,84.88,116.78,3.40
1997,2,95.40,98.63,3.58
1997,3,84.26,88.91,2.79
1997,4,72.97,103.24,2.53
1997,5,73.48,104.76,2.76
1997,6,67.11,94.54,3.40
1997,7,72.55,100.57,3.12
1997,8,73.59,94.33,2.78
1997,9,73.02,101.81,2.55
1997,10,75.17,106.58,03.02
1997,11,76.60,100.40,3.00
1997,12,86.56,113.70,03.01
1998,1,88.53,128.71,2.95
1998,2,97.37,132.60,3.23
1998,3,84.95,135.75,3.43
1998,4,88.17,140.25,3.29
1998,5,93.09,149.46,2.67
1998,6,94.38,131.25,2.60
1998,7,92.14,143.25,2.79
1998,8,93.25,148.28,2.71
1998,9,94.22,151.62,2.50
1998,10,93.80,146.39,2.78
1998,11,93.98,149.82,2.98
1998,12,106.98,154.21,3.17
1999,1,120.36,170.34,3.13
1999,2,142.92,191.04,3.19
1999,3,98.39,150.71,3.39
1999,4,104.56,154.57,2.93
1999,5,103.33,156.57,2.94
1999,6,101.12,150.87,03.07
1999,7,108.69,170.21,3.35
1999,8,112.64,171.98,3.66
1999,9,111.81,162.84,03.06
1999,10,111.08,164.68,3.48
1999,11,115.58,171.04,3.51
1999,12,164.50,231.89,3.40
2000,1,139.19,4.72
2000,2,116.99,3.26
2000,3,151.52,3.27
2000,4,127.93,2.90
2000,5,111.21,2.91
2000,6,114.92,3.18
2000,7,117.76,3.21
2000,8,122.01,3.12
2000,9,125.53,3.19
2000,10,127.92,3.17
2000,11,129.13,03.02
2000,12,151.68,3.14
2001,1,147.80,3.21
2001,2,170.39,3.78
2001,3,146.85,2.92
2001,4,139.61,03.03
2001,5,136.75,03.08
2001,6,132.26,03.08
2001,7,139.03,3.51
2001,8,140.15,3.50
2001,9,144.70,2.73
2001,10,143.40,2.74
2001,11,144.19,2.71
2001,12,162.66,2.78
2002,1,156.85,3.28
2002,2,186.57,2.96
2002,3,150.22,2.78
2002,4,139.38,2.53
2002,5,145.12,2.73
2002,6,140.70,2.69
2002,7,145.64,2.52
2002,8,152.60,3.86
2002,9,164.44,2.76
2002,10,176.98,2.52
2002,11,169.13,2.65
2002,12,181.47,2.84
